address,weight
0x07e6509914f956becec902265a6cf36f15a98e29,2
0x07e9d06db58a77407db95d93fbe1275a46f97463,1
0x07eb5c84daaa840a3fee3896f28111ef42c5792e,1
0x07f0571566e4b07ea825798a70fd67fe79077f4e,2
0x080a75c96bf646cd9f78aaf8c9869a510e9c68bb,1
0x085ed975a8b6b860de3c2b871da60a3f9f48a5b8,1
0x0888a60957b55e4c23e66852a0d17290e7ced7e1,1
0x0895703c9c6cf9d5b81cc920918156bce59a01b5,1
0x08b9470d5f6a14b642b120d9c4b5c25638502aa2,1
0x08e5f4670b8e70fe77d952ba0fbbf9f4762aaf73,1
0x08f613db560a38c330414062e1aac22e5f80876f,2
0x08fde0b08e178549fbba1d4c156bc4739434f43c,1
0x0928ae0e403514895b692476f052cecbbdad9ec8,1
0x094e4b82a5722271546cca99c8c351bd840669ae,3
0x097a3a6ce1d77a11bda1ac40c08fdf9f6202103f,1
0x09825ac4fb2189bb789c155633b8a78407d64004,1
0x09a9af114843218a7446929b1183ebec373b2827,2
0x09d57f361f794d150c04443a7b6e369120dc2bea,1
0x09e010bbf41ac73a59668754b263f83f4a49c06e,2
0x09f3da83660926bd0979971a5cd5fd479bd00a45,1
0x09fa8fd60403a6d5d7fcac30bfc5c63f2811ace7,1
0x0a09cd09b0107bb98a83f211704f036eca94b92e,10
0x0a74089362c233f9c1b300c26790e18f06574d9d,1
0x0a916c64bffeecca2f1a73f8d44692e9765dcd79,1
0x0a9c857547fa00f68fc0405bc2470b292f9b376d,1
0x0aba2a9a84b9dbeb1dbdc227773da9b1ea19414a,1
0x0b044f147d51e52452e0f3687ca41170fee730ea,1
0x0b1937f6ee406ca9e44dd99035da38840c242a9d,1
0x0b66da2871b9545eda8082d9f78f09c3e3d7dc5e,1
0x0b844de0132c9c5d780379d0201ba3edf6538754,1
0x0b88576bf902a26f2f08e408ad843321f59cacd2,1
0x0bacbad41a499badcd35ef1b7bdc951a119bbd86,2
0x0bc4ecc2a47413af3552be58bf741fcb04f13bcd,1
0x0bcd81842b22eb005bf0a55e72c971464a8a2606,2
0x0bd438198559d6d90cf1cf1e5d6c015836d03d16,1
0x0c4243ca087f4e4738596f33292064e847da80da,2
0x0c7366af4e462c190dd2be0ad5e4c72d3cc40160,1
0x0c887420937d8f9305ff872eaa5aaf5e379a811a,1
0x0cef60b5f55418a501e08dc6426d0cd70eba8e5f,1
0x0cf30daf2fb962ed1d5d19c97f5f6651f3b691c1,1
0x0d17210ad8c58b9fb47066629f3325ee73648ca0,1
